V_NO,MAKE,MODEL,COLOUR,FUEL_TYPE,REGISTERED_KEEPERS,CAPCLEAN,ODOMETER_MILES,VEHICLE_AGE__MONTHS,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE
35875,MERCEDES-BENZ,GLC,BLUE,Diesel,3,15500,76519,96,20/05/2019,TradeZone,MANUAL
3072,VOLVO,V40,BLACK,Diesel,2,2100,150179,125,28/06/2016,TradeZone,MANUAL
62934,VAUXHALL,GRANDLAND X,RED,Petrol,2,9475,65258,53,09/05/2019,TradeZone,MANUAL
98631,SMART,FORTWO COUPE,BLACK,Petrol,2,5575,56186,94,11/09/2017,TradeZone,SEMI-AUTO
10724,VOLVO,XC60,BLUE,Diesel,3,4425,210000,96,08/06/2020,TradeZone,MANUAL
18457,VAUXHALL,ASTRA,BLACK,Diesel,8,840,109000,170,30/04/2021,TradeZone,SEMI-AUTO
27048,BMW,1 SERIES,GREY,Petrol,3,9825,52793,78,09/02/2019,TradeZone,MANUAL
41431,CITROEN,C5 AIRCROSS,SILVER,Petrol,1,14400,15110,38,27/06/2018,TradeZone,MANUAL
70821,SKODA,KODIAQ,WHITE,Petrol,2,12850,52041,92,30/06/2019,TradeZone,AUTO
70733,VAUXHALL,CORSA,GREY,Petrol,4,440,110710,176,29/09/2021,TradeZone,SEMI-AUTO
44947,NISSAN,JUKE,RED,Diesel,6,1550,95001,145,26/07/2019,TradeZone,AUTO
10185,SEAT,LEON,RED,Diesel,2,5525,65000,117,23/03/2017,PARTEX,AUTO
17912,LAND ROVER,RANGE ROVER EVOQUE,WHITE,Diesel,2,8575,59341,86,29/07/2021,OTHER,SEMI-AUTO
76271,LAND ROVER,RANGE ROVER EVOQUE,GREY,Petrol,1,21650,38009,55,01/02/2019,TradeZone,SEMI-AUTO
26983,LAND ROVER,RANGE ROVER EVOQUE,SILVER,Petrol,1,20600,41796,66,31/01/2017,TradeZone,MANUAL
93363,MINI,CONVERTIBLE,GREY,Petrol,2,13750,45103,55,07/03/2019,TradeZone,MANUAL
