V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
824,RENAULT,CLIO,BLUE,Hatchback,Petrol,RENAULTCLIO5 Years OldPETROL,RENAULTCLIO5 Years Old,RENAULTCLIO,ICONIC,20/05/2019,TradeZone,MANUAL,6675,64.233333,2,38778,615.61
7574,RENAULT,CLIO,BLACK,Hatchback,Petrol,RENAULTCLIO8 Years OldPETROL,RENAULTCLIO8 Years Old,RENAULTCLIO,DYNAMIQUE NAV,28/06/2016,TradeZone,MANUAL,4700,102.533333,3,34058,672.46
7715,RENAULT,CLIO,RED,Hatchback,Diesel,RENAULTCLIO4 Years OldDIESEL,RENAULTCLIO4 Years Old,RENAULTCLIO,ICONIC,09/05/2019,TradeZone,MANUAL,7100,61.033333,3,40132,1299.144
5988,MERCEDES-BENZ,C-CLASS,BLACK,Coupe,Diesel,MERCEDES-BENZC-CLASS7 Years OldDIESEL,MERCEDES-BENZC-CLASS7 Years Old,MERCEDES-BENZC-CLASS,AMG LINE,11/09/2017,TradeZone,SEMI-AUTO,14200,87.833333,2,62312,1068.49
9547,KIA,SPORTAGE,BLUE,SUV,Petrol,KIASPORTAGE4 Years OldPETROL,KIASPORTAGE4 Years Old,KIASPORTAGE,GT-LINE,08/06/2020,TradeZone,MANUAL,15400,48.766667,1,27359,902.378
5212,BMW,3 SERIES,BLACK,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,30/04/2021,TradeZone,SEMI-AUTO,19850,36.6,1,45434,287.9
5830,AUDI,A1,GREY,Hatchback,Petrol,AUDIA15 Years OldPETROL,AUDIA15 Years Old,AUDIA1,S LINE,09/02/2019,TradeZone,MANUAL,13950,66.866667,2,30284,372.46
1813,VAUXHALL,INSIGNIA GRAND SPORT,SILVER,Hatchback,Petrol,VAUXHALLINSIGNIA GRAND SPORT6 Years OldPETROL,VAUXHALLINSIGNIA GRAND SPORT6 Years Old,VAUXHALLINSIGNIA GRAND SPORT,SRI,27/06/2018,TradeZone,MANUAL,7650,74.433333,4,49434,313.57
9380,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE5 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE5 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC SE,30/06/2019,TradeZone,AUTO,22100,63.3,2,19253,1282.52
6316,BMW,3 SERIES,GREY,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,29/09/2021,TradeZone,SEMI-AUTO,20550,36.8,1,41878,602.86
2431,JAGUAR,I-PACE,RED,SUV,Electric,JAGUARI-PACE5 Years OldELECTRIC,JAGUARI-PACE5 Years Old,JAGUARI-PACE,SE,26/07/2019,TradeZone,AUTO,15300,61.133333,1,52089,507.6
9830,JAGUAR,XF,RED,Saloon,Diesel,JAGUARXF8 Years OldDIESEL,JAGUARXF8 Years Old,JAGUARXF,PORTFOLIO,23/03/2017,PARTEX,AUTO,6850,96.9,3,69657,247.29
7832,BMW,2 SERIES GRAN COUPE,WHITE,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,29/07/2021,OTHER,SEMI-AUTO,17800,42.266667,2,27178,1037.6399999999999
6287,AUDI,A4 AVANT,GREY,Estate,Petrol,AUDIA4 AVANT5 Years OldPETROL,AUDIA4 AVANT5 Years Old,AUDIA4 AVANT,S LINE,01/02/2019,TradeZone,SEMI-AUTO,13900,67.4,1,73054,816.4599999999999
5510,VOLVO,V40,SILVER,Hatchback,Diesel,VOLVOV408 Years OldDIESEL,VOLVOV408 Years Old,VOLVOV40,CROSS COUNTRY PRO,31/01/2017,TradeZone,MANUAL,8700,98.766667,2,39274,1039.42
7997,JAGUAR,E-PACE,GREY,SUV,Diesel,JAGUARE-PACE5 Years OldDIESEL,JAGUARE-PACE5 Years Old,JAGUARE-PACE,R-DYNAMIC S,07/03/2019,TradeZone,MANUAL,12500,67.466667,1,62127,1257.11
8706,RENAULT,CAPTUR,RED,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,DYNAMIQUE S NAV,01/03/2018,TradeZone,MANUAL,7400,76.333333,2,24444,1311.73
3437,SUZUKI,SWIFT,GREY,Hatchback,Petrol,SUZUKISWIFT6 Years OldPETROL,SUZUKISWIFT6 Years Old,SUZUKISWIFT,SZ3,21/09/2018,TradeZone,MANUAL,6975,75.933333,2,20231,636.023
9066,SEAT,LEON,BLACK,Hatchback,Petrol,SEATLEON5 Years OldPETROL,SEATLEON5 Years Old,SEATLEON,FR SPORT,28/06/2019,TradeZone,MANUAL,10500,61.133333,1,55124,27.3
701,NISSAN,QASHQAI,WHITE,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,Tekna                                             ,31/10/2019,TradeZone,MANUAL,14100,58.233333,2,12053,854.165
9000,VOLKSWAGEN,GOLF,BLACK,Hatchback,Petrol,VOLKSWAGENGOLF4 Years OldPETROL,VOLKSWAGENGOLF4 Years Old,VOLKSWAGENGOLF,LIFE,31/03/2021,PARTEX,SEMI-AUTO,13650,47.3,1,37663,668.591
5753,BMW,5 SERIES,BLUE,Saloon,Diesel,BMW5 SERIES3 Years OldDIESEL,BMW5 SERIES3 Years Old,BMW5 SERIES,M SPORT,29/01/2021,TradeZone,SEMI-AUTO,24350,40.333333,1,22943,322.78
8027,MG,ZS,WHITE,SUV,Petrol,MGZS3 Years OldPETROL,MGZS3 Years Old,MGZS,EXCLUSIVE,30/04/2021,PARTEX,MANUAL,11000,45.833333,1,28184,1093.1399999999999
6226,RENAULT,CAPTUR,BLUE,SUV,Petrol,RENAULTCAPTUR6 Years OldPETROL,RENAULTCAPTUR6 Years Old,RENAULTCAPTUR,ICONIC,01/09/2018,PARTEX,MANUAL,7225,72.966667,4,32609,1166.28
6635,HONDA,CIVIC,RED,Hatchback,Petrol,HONDACIVIC6 Years OldPETROL,HONDACIVIC6 Years Old,HONDACIVIC,SR,20/07/2018,TradeZone,MANUAL,9625,71.8,2,54696,484.87
2646,FIAT,500,BLACK,Hatchback,Petrol,FIAT5003 Years OldPETROL,FIAT5003 Years Old,FIAT500,DOLCEVITA,31/05/2021,TradeZone,MANUAL,8625,38.866667,1,12753,673.49
9329,MINI,COUNTRYMAN,GREEN,SUV,Diesel,MINICOUNTRYMAN5 Years OldDIESEL,MINICOUNTRYMAN5 Years Old,MINICOUNTRYMAN,COOPER,23/07/2018,OTHER,SEMI-AUTO,11850,70.7,2,45054,407.339
289,MAZDA,CX-5,BLACK,SUV,Petrol,MAZDACX-55 Years OldPETROL,MAZDACX-55 Years Old,MAZDACX-5,SPORT NAV+,28/06/2019,TradeZone,MANUAL,13850,60.133333,2,61958,751.5
5834,MG,ZS,WHITE,SUV,Petrol,MGZS3 Years OldPETROL,MGZS3 Years Old,MGZS,EXCLUSIVE,05/10/2021,TradeZone,SEMI-AUTO,13650,36.833333,1,16424,1679.834
9759,BMW,3 SERIES,BLACK,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,24/09/2021,TradeZone,SEMI-AUTO,22850,36.533333,1,20823,196.68
